threshold,precision,recall
0.06247510865368736,0.13053658536585366,1.0
0.0634447670199514,0.13056206088992975,1.0
0.06587669078094953,0.13058754635955494,1.0
0.06768030314824126,0.13061304178055447,1.0
0.0682618598261578,0.13063854715875806,1.0
0.06857818372578507,0.1306640625,1.0
0.06883692250623644,0.13068958781011916,1.0
0.07032716568049277,0.13071512309495897,1.0
0.07100362828590337,0.1307406683603674,1.0
0.07122661385870437,0.13076622361219703,1.0
0.07129851141439625,0.130791788856305,1.0
0.07141047305804393,0.130817364098553,1.0
0.07425861569072602,0.13084294934480736,1.0
0.07449719590392558,0.13086854460093897,1.0
0.0746269712096018,0.13089414987282333,1.0
0.07477193494109598,0.13091976516634052,1.0
0.07482840650987647,0.13094539048737522,1.0
0.07560167686700814,0.13097102584181675,1.0
0.07603849791016165,0.1310223266745006,1.0
0.07633801022419356,0.13109935332157555,1.0
0.07663501273858309,0.131125049000392,1.0
0.07742385027556474,0.1311507547539698,1.0
0.07781038247281659,0.13117647058823528,1.0
0.07790443253239039,0.13120219650911943,1.0
0.07790473272161026,0.13122793252255788,1.0
0.07862541599510782,0.1312536786344909,1.0
0.07898732080384648,0.13127943485086344,1.0
0.0790917276112295,0.13133097762073026,1.0
0.07910425866989028,0.1314083677077195,1.0
0.07912572575964526,0.13143418467583498,1.0
0.0791827563741498,0.13146001179013558,1.0
0.07932653677768682,0.13148584905660377,1.0
0.07957632662300239,0.13151169648122665,1.0
0.079739728486361,0.13158929976396538,1.0
0.07997902551422198,0.13161518788117255,1.0
0.08006583732295189,0.13164108618654075,1.0
0.08011311027127545,0.13166699468608542,1.0
0.08026628414385974,0.13169291338582678,1.0
0.08028326081073676,0.13171884229178973,1.0
0.08062403585978944,0.13174478141000392,1.0
0.08090703096410785,0.13177073074650383,1.0
0.08095712289643592,0.1317966903073286,1.0
0.08109910477302233,0.13182266009852217,1.0
0.08114456254662332,0.13184864012613323,1.0
0.08119083602318647,0.13187463039621525,1.0
0.08132815209406742,0.1319006309148265,1.0
0.08146082052870651,0.13192664168802998,1.0
