repository,n_total,n_failures,failure_rate,roc_auc,average_precision,f1,precision,recall,fpr
pypa/pipenv,59,12,0.2033898305084746,0.8368794326241135,0.46501629409238104,0.5714285714285714,0.43478260869565216,0.8333333333333334,0.2765957446808511
mockito/mockito,59,9,0.15254237288135594,0.8377777777777777,0.3654253553273161,0.42105263157894735,0.4,0.4444444444444444,0.12
tiangolo/fastapi,59,12,0.2033898305084746,0.8439716312056738,0.6885416666666667,0.6666666666666666,0.7777777777777778,0.5833333333333334,0.0425531914893617
pypa/setuptools,59,24,0.4067796610169492,0.8488095238095238,0.8142821170654703,0.7407407407407407,0.6666666666666666,0.8333333333333334,0.2857142857142857
netty/netty,59,29,0.4915254237288136,0.8505747126436782,0.8598828701161358,0.8,0.7741935483870968,0.8275862068965517,0.23333333333333334
square/retrofit,59,22,0.3728813559322034,0.8562653562653563,0.720475266966406,0.7777777777777778,0.65625,0.9545454545454546,0.2972972972972973
google/gson,59,2,0.03389830508474576,0.8596491228070176,0.1534090909090909,0.0,0.0,0.0,0.07017543859649122
square/moshi,59,18,0.3050847457627119,0.8617886178861789,0.737881108733792,0.6857142857142857,0.7058823529411765,0.6666666666666666,0.12195121951219512
FasterXML/jackson-core,59,11,0.1864406779661017,0.8712121212121212,0.6701245936888811,0.5555555555555556,0.7142857142857143,0.45454545454545453,0.041666666666666664
square/okhttp,59,21,0.3559322033898305,0.87468671679198,0.8334897752909696,0.6666666666666666,0.5454545454545454,0.8571428571428571,0.39473684210526316
apache/airflow,59,8,0.13559322033898305,0.8774509803921569,0.46884920634920635,0.5882352941176471,0.5555555555555556,0.625,0.0784313725490196
mlflow/mlflow,59,2,0.03389830508474576,0.8859649122807017,0.5666666666666667,0.5,0.5,0.5,0.017543859649122806
tox-dev/tox,59,23,0.3898305084745763,0.9009661835748792,0.890430546574514,0.7916666666666666,0.76,0.8260869565217391,0.16666666666666666
apache/commons-io,59,2,0.03389830508474576,0.9035087719298246,0.225,0.0,0.0,0.0,0.03508771929824561
python/mypy,59,2,0.03389830508474576,0.9035087719298246,0.3333333333333333,0.0,0.0,0.0,0.017543859649122806
FasterXML/jackson-databind,59,5,0.0847457627118644,0.9111111111111112,0.5009523809523809,0.0,0.0,0.0,0.018518518518518517
assertj/assertj-core,59,10,0.1694915254237288,0.9163265306122448,0.7525133689839572,0.6,0.6,0.6,0.08163265306122448
spring-projects/spring-framework,59,2,0.03389830508474576,0.9210526315789475,0.24285714285714285,0.0,0.0,0.0,0.03508771929824561
pallets/flask,59,18,0.3050847457627119,0.9308943089430893,0.8682381752234694,0.8,0.8235294117647058,0.7777777777777778,0.07317073170731707
apache/commons-codec,59,4,0.06779661016949153,0.9318181818181818,0.37797619047619047,0.0,0.0,0.0,0.05454545454545454
testcontainers/testcontainers-java,59,3,0.05084745762711865,0.9404761904761905,0.5535714285714286,0.4,0.5,0.3333333333333333,0.017857142857142856
aio-libs/aiohttp,59,6,0.1016949152542373,0.9905660377358491,0.9444444444444444,0.9090909090909091,1.0,0.8333333333333334,0.0
apache/commons-net,59,1,0.01694915254237288,1.0,1.0,0.0,0.0,0.0,0.0
pytest-dev/pytest-cov,27,16,0.5925925925925926,1.0,1.0,0.967741935483871,1.0,0.9375,0.0
opensearch-project/OpenSearch,59,7,0.11864406779661017,1.0,0.9999999999999998,1.0,1.0,1.0,0.0
JodaOrg/joda-time,59,0,0.0,,,,,,
OpenFeign/feign,59,0,0.0,,,,,,
apache/commons-cli,59,0,0.0,,,,,,
apache/commons-collections,59,0,0.0,,,,,,
apache/commons-compress,59,0,0.0,,,,,,
apache/commons-csv,59,0,0.0,,,,,,
apache/commons-lang,59,0,0.0,,,,,,
apache/commons-text,59,0,0.0,,,,,,
ben-manes/caffeine,59,0,0.0,,,,,,
celery/celery,59,0,0.0,,,,,,
junit-team/junit5,59,0,0.0,,,,,,
mybatis/mybatis-3,24,0,0.0,,,,,,
pycqa/flake8,12,0,0.0,,,,,,
pytest-dev/pytest-xdist,41,0,0.0,,,,,,
